,Unnamed: 0.1,Unnamed: 0,precursor_combination,plate_number,turbidity,turbidity_label,turbidity_binary,tri_name,di_name,di_smiles,tri_smiles,di_cactvs_fingerprint,di_charge,di_complexity,di_covalent_unit_count,di_defined_atom_stereo_count,di_defined_bond_stereo_count,di_exact_mass,di_h_bond_acceptor_count,di_h_bond_donor_count,di_heavy_atom_count,di_xlogp,di_molecular_weight,di_rotatable_bond_count,di_tpsa,tri_cactvs_fingerprint,tri_charge,tri_complexity,tri_covalent_unit_count,tri_defined_atom_stereo_count,tri_defined_bond_stereo_count,tri_exact_mass,tri_h_bond_acceptor_count,tri_h_bond_donor_count,tri_heavy_atom_count,tri_xlogp,tri_molecular_weight,tri_rotatable_bond_count,tri_tpsa,di_arom_group,tri_arom_group
33,33,33,C2,1,52.85598093,dissolved,1,TriC,Di2,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,NCCN(CCN)CCN,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224.0,1,0,0,206.094294304,3,1,15,2.7,206.24,3,54.4,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
34,34,34,C3,1,64.75422034,turbid,0,TriC,Di3,O=Cc1cc2sc(C=O)cc2s1,NCCN(CCN)CCN,000003718070300060000000000000000000000000012240000000000000000012000001F800001A04000000000800A0D0023001800000088C00285280000300802408104088190000C8082032A015108021002080002889870888808000000000000000000000000000000000000000000000,0,185.0,1,0,0,195.96527171,4,0,12,2.3,196.3,2,90.6,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,2,0
35,35,35,C4,1,53.91345408,dissolved,1,TriC,Di4,O=Cc1ccc(C=O)cc1,NCCN(CCN)CCN,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888008E40000000000000008000000000000000000000000000,0,107.0,1,0,0,134.036779430,2,0,10,0.9,134.13,2,34.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
36,36,36,C5,1,51.8039776,dissolved,1,TriC,Di5,O=Cc1c(F)c(F)c(C=O)c(F)c1F,NCCN(CCN)CCN,00000371007031C0000000000000000000000000000000000000300000000000000000010000001B00000000000C00A0980A0000800000008802085080000200002400000088010000C80820328014108021002080000889070888008E40000000000000008000000000000000000000000000,0,195.0,1,0,0,205.99909195,6,0,14,1.2,206.09,2,34.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
37,37,37,C6,1,74.33368164,turbid,0,TriC,Di6,O=Cc1ccc(-c2ccc(C=O)cc2)cc1,NCCN(CCN)CCN,00000371C0703000000000000000000000000000000000000000306000000000000000014000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888C08EC0000000000000008000000000000000000000000000,0,207.0,1,0,0,210.068079557,2,0,16,3.3,210.23,3,34.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,2,0
38,38,38,C7,1,66.6871812,turbid,0,TriC,Di7,O=Cc1c2ccccc2c(C=O)c2ccccc12,NCCN(CCN)CCN,00000371C07830000000000000000000000000000000000000003060C0000000000000C15400001A00000000000C00A098023000C00000008802285280000200002400000888010000C80820328015108021002080000889070888C08EC0000200001000008000040000200000000000000000,0,269.0,1,0,0,234.068079557,2,0,18,3.3,234.25,2,34.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,3,0
39,39,39,C8,1,58.96680882,turbid,0,TriC,Di8,O=Cc1ccc2ccc3ccc(C=O)nc3c2n1,NCCN(CCN)CCN,00000371C07330000000000000000000000000000000000000003C5880000000000000B1FE00001E00000000000C08A19E0230C0F2081000A8032C72C400828024271220089821B074D80860F2C095B1942108608000C8C9871888C08E40000040000200208000008000040040000000000000,0,302.0,1,0,0,236.058577502,4,0,18,2.0,236.22,2,59.9,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,3,0
40,40,40,C9,3,68.09324971,turbid,0,TriC,Di9,O=Cc1ccsc1C=O,NCCN(CCN)CCN,0000037180603000400000000000000000000000000120000000000000000000000000018000001A04000000000C00A4D802B001800000088C02285280000300802408104888190000C8082032A015108001002080002889860900000A00000000000000000000000000000000000000000000,0,124.0,1,0,0,139.99320054,3,0,9,0.9,140.16,2,62.4,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
41,41,41,C10,3,56.59724651,turbid,0,TriC,Di10,O=Cc1ccccc1C=O,NCCN(CCN)CCN,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870988808E80000000001000000000000000200000000000000000,0,115.0,1,0,0,134.036779430,2,0,10,1.2,134.13,2,34.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
42,42,42,C11,3,49.92344195,dissolved,1,TriC,Di11,Cn1nc(-c2ccc(C=O)cc2)cc1C=O,NCCN(CCN)CCN,00000371C073300000000000000000000000000000016000000030000000000000000001C000001E00080000000C08A19E06328092080000AA032C72C40092040027820018D821B864D80820B2C0D5F184A50860880048C9871C88C08E40000000000000008000000000000000000000000000,0,262.0,1,0,0,214.074227566,3,0,16,1.2,214.22,3,52.0,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,2,0
43,43,43,C12,3,57.36143787,turbid,0,TriC,Di12,CC(C=O)=Cc1ccc(C=C(C)C=O)cc1,NCCN(CCN)CCN,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023200800000008802285280000200002000000888010000C80820228011108020002080000889870080000E40000000000000008000000000000000000000000000,0,273.0,1,0,0,214.099379685,2,0,16,2.4,214.26,4,34.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
44,44,44,C13,3,55.52662215,turbid,0,TriC,Di13,COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC,NCCN(CCN)CCN,00000371E0783800000000000000000000000000000000000000306000000000000000014000001A00000000000C04A098023206800004008802285280000208002420000888010688C80D263284351A823922A4C0110AA9878ACC10CE20000100000040004000020000008000000000000000,0,352.0,1,0,0,330.11033829,6,0,24,2.4,330.3,9,71.1,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,2,0
45,45,45,C14,3,70.21774324,turbid,0,TriC,Di14,Cn1nc2c(C=O)cccc2c1C=O,NCCN(CCN)CCN,00000371C073300000000000000000000000000000016000000030000000000000005801F000001E00080000000C08A19E0632C0F2080000AA032C72C40092040027800018D821B844D80820BAC0D5F184A58860880048C9C71C89C09E00000200000200000000040000040000000000000000,0,244.0,1,0,0,188.058577502,3,0,14,0.8,188.18,2,52.0,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,2,0
46,46,46,C15,3,54.01094913,dissolved,1,TriC,Di15,O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1,NCCN(CCN)CCN,00000371E0783800000000000000000000000000000000000000306000000000000000014000001A00000000000C04A098023006800004008802285280000208002420000888010608C80C263284351A823920A5C01108A98788CC00CE20000000000000004000000000000000000000000000,0,272.0,1,0,0,284.10485899,4,0,21,2.8,284.31,8,52.6,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,2,0
47,47,47,C16,3,56.36636622,turbid,0,TriC,Di16,CCCCC(CC)COc1cc(C=O)c(OC)cc1C=O,NCCN(CCN)CCN,00000371E0783800000000000000000000000000000000000000300000000000000000010000001A00000000000D04A098023206800004008802285280000208002420000088010608C80C263684351A823960A4E01108A987CAC8308E41000100000800008200020000100000000000000000,0,305.0,1,0,0,292.16745924,4,0,21,3.9,292.4,10,52.6,00000371E0638000000000000000000000000000000000000000000000000000000000000000001C00100000000000C100040000034000000000000000000000000000000000800800000040000000001000000010008000000000000000000000000000000000000000000000000000000000,0.0,52.5,1.0,0.0,0.0,146.153146591,4.0,3.0,10.0,-2.6,146.23,6.0,81.3,1,0
48,48,48,D1,1,100.0390146,turbid,0,TriD,Di1,O=Cc1cccc(C=O)c1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C8082032801510802100208000088987088A408E00000200000000000000040000000000000000000000,0,117.0,1,0,0,134.036779430,2,0,10,1.2,134.13,2,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
49,49,49,D2,1,46.12427218,dissolved,1,TriD,Di2,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224.0,1,0,0,206.094294304,3,1,15,2.7,206.24,3,54.4,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
50,50,50,D3,1,47.06490225,dissolved,1,TriD,Di3,O=Cc1cc2sc(C=O)cc2s1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,000003718070300060000000000000000000000000012240000000000000000012000001F800001A04000000000800A0D0023001800000088C00285280000300802408104088190000C8082032A015108021002080002889870888808000000000000000000000000000000000000000000000,0,185.0,1,0,0,195.96527171,4,0,12,2.3,196.3,2,90.6,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,2,1
51,51,51,D4,1,57.55812354,turbid,0,TriD,Di4,O=Cc1ccc(C=O)cc1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888008E40000000000000008000000000000000000000000000,0,107.0,1,0,0,134.036779430,2,0,10,0.9,134.13,2,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
52,52,52,D5,1,55.47241289,turbid,0,TriD,Di5,O=Cc1c(F)c(F)c(C=O)c(F)c1F,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371007031C0000000000000000000000000000000000000300000000000000000010000001B00000000000C00A0980A0000800000008802085080000200002400000088010000C80820328014108021002080000889070888008E40000000000000008000000000000000000000000000,0,195.0,1,0,0,205.99909195,6,0,14,1.2,206.09,2,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
53,53,53,D6,1,56.47665451,turbid,0,TriD,Di6,O=Cc1ccc(-c2ccc(C=O)cc2)cc1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C0703000000000000000000000000000000000000000306000000000000000014000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888C08EC0000000000000008000000000000000000000000000,0,207.0,1,0,0,210.068079557,2,0,16,3.3,210.23,3,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,2,1
54,54,54,D7,1,46.90333854,dissolved,1,TriD,Di7,O=Cc1c2ccccc2c(C=O)c2ccccc12,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C07830000000000000000000000000000000000000003060C0000000000000C15400001A00000000000C00A098023000C00000008802285280000200002400000888010000C80820328015108021002080000889070888C08EC0000200001000008000040000200000000000000000,0,269.0,1,0,0,234.068079557,2,0,18,3.3,234.25,2,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,3,1
55,55,55,D8,1,55.67372629,turbid,0,TriD,Di8,O=Cc1ccc2ccc3ccc(C=O)nc3c2n1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C07330000000000000000000000000000000000000003C5880000000000000B1FE00001E00000000000C08A19E0230C0F2081000A8032C72C400828024271220089821B074D80860F2C095B1942108608000C8C9871888C08E40000040000200208000008000040040000000000000,0,302.0,1,0,0,236.058577502,4,0,18,2.0,236.22,2,59.9,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,3,1
56,56,56,D9,3,61.86217277,turbid,0,TriD,Di9,O=Cc1ccsc1C=O,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,0000037180603000400000000000000000000000000120000000000000000000000000018000001A04000000000C00A4D802B001800000088C02285280000300802408104888190000C8082032A015108001002080002889860900000A00000000000000000000000000000000000000000000,0,124.0,1,0,0,139.99320054,3,0,9,0.9,140.16,2,62.4,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
57,57,57,D10,3,55.89027059,turbid,0,TriD,Di10,O=Cc1ccccc1C=O,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870988808E80000000001000000000000000200000000000000000,0,115.0,1,0,0,134.036779430,2,0,10,1.2,134.13,2,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
58,58,58,D11,3,52.37679952,dissolved,1,TriD,Di11,Cn1nc(-c2ccc(C=O)cc2)cc1C=O,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C073300000000000000000000000000000016000000030000000000000000001C000001E00080000000C08A19E06328092080000AA032C72C40092040027820018D821B864D80820B2C0D5F184A50860880048C9871C88C08E40000000000000008000000000000000000000000000,0,262.0,1,0,0,214.074227566,3,0,16,1.2,214.22,3,52.0,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,2,1
59,59,59,D12,3,59.75395926,turbid,0,TriD,Di12,CC(C=O)=Cc1ccc(C=C(C)C=O)cc1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023200800000008802285280000200002000000888010000C80820228011108020002080000889870080000E40000000000000008000000000000000000000000000,0,273.0,1,0,0,214.099379685,2,0,16,2.4,214.26,4,34.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
60,60,60,D13,3,54.45425455,dissolved,1,TriD,Di13,COc1cc(C=O)ccc1OCCOc1ccc(C=O)cc1OC,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371E0783800000000000000000000000000000000000000306000000000000000014000001A00000000000C04A098023206800004008802285280000208002420000888010688C80D263284351A823922A4C0110AA9878ACC10CE20000100000040004000020000008000000000000000,0,352.0,1,0,0,330.11033829,6,0,24,2.4,330.3,9,71.1,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,2,1
61,61,61,D14,3,57.57273341,turbid,0,TriD,Di14,Cn1nc2c(C=O)cccc2c1C=O,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371C073300000000000000000000000000000016000000030000000000000005801F000001E00080000000C08A19E0632C0F2080000AA032C72C40092040027800018D821B844D80820BAC0D5F184A58860880048C9C71C89C09E00000200000200000000040000040000000000000000,0,244.0,1,0,0,188.058577502,3,0,14,0.8,188.18,2,52.0,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,2,1
62,62,62,D15,3,55.06911434,dissolved,1,TriD,Di15,O=Cc1ccc(OCCCOc2ccc(C=O)cc2)cc1,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371E0783800000000000000000000000000000000000000306000000000000000014000001A00000000000C04A098023006800004008802285280000208002420000888010608C80C263284351A823920A5C01108A98788CC00CE20000000000000004000000000000000000000000000,0,272.0,1,0,0,284.10485899,4,0,21,2.8,284.31,8,52.6,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,2,1
63,63,63,D16,3,58.44660422,turbid,0,TriD,Di16,CCCCC(CC)COc1cc(C=O)c(OC)cc1C=O,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,00000371E0783800000000000000000000000000000000000000300000000000000000010000001A00000000000D04A098023206800004008802285280000208002420000088010608C80C263684351A823960A4E01108A987CAC8308E41000100000800008200020000100000000000000000,0,305.0,1,0,0,292.16745924,4,0,21,3.9,292.4,10,52.6,00000371E0730000000000000000000000000000000000000000300000000000000000010000001C00100000000C00C118040200804000008002004000008200002000000088800004880820228090118020006080000888071080C00EC0000200001000008000040000200000000000000000,0.0,176.0,1.0,0.0,0.0,249.220497874,3.0,3.0,18.0,0.9,249.39,6.0,78.1,1,1
64,64,64,E1,1,77.14365028,turbid,0,TriE,Di1,O=Cc1cccc(C=O)c1,NCCCN(CCCN)CCCN,0000037180703000000000000000000000000000000000000000300000000000000000010000001A00000000000C00A098023000800000008802285280000200002400000888010000C8082032801510802100208000088987088A408E00000200000000000000040000000000000000000000,0,117.0,1,0,0,134.036779430,2,0,10,1.2,134.13,2,34.1,00000371E0738000000000000000000000000000000000000000000000000000000000000000001C00100000000800C100040000034000000000000000000000000000000000800800000000000040000400000010008000000000000000000000000000000000000000000000000000000000,0.0,78.6,1.0,0.0,0.0,188.20009678,4.0,3.0,13.0,-1.5,188.31,9.0,81.3,1,0
65,65,65,E2,1,56.0251398,turbid,0,TriE,Di2,CC(C)(C)c1cc(C=O)c(O)c(C=O)c1,NCCCN(CCCN)CCCN,00000371C0703000000000000000000000000000000000000000300000000000000000010000001A00000800000E04A098023206800002008802285280000200002420000088010408C808263682151280714024E01108998788CAF08FA0000200000800004000040000100000000000000000,0,224.0,1,0,0,206.094294304,3,1,15,2.7,206.24,3,54.4,00000371E0738000000000000000000000000000000000000000000000000000000000000000001C00100000000800C100040000034000000000000000000000000000000000800800000000000040000400000010008000000000000000000000000000000000000000000000000000000000,0.0,78.6,1.0,0.0,0.0,188.20009678,4.0,3.0,13.0,-1.5,188.31,9.0,81.3,1,0
